,Header,,,
,interval,answering_time,viewing_answer_time,label
0,0,17,15,0
1,0.103333333,5,10,0
2,0.083055556,7,0,0
3,0.048333333,4,1,1
4,0.509166667,2,1,1
5,2.328611111,6,1,1
6,4.000555556,3,1,1
7,24.35611111,5,1,1
8,69.1675,3,1,1
9,91.48722222,4,1,1
10,0,3,36,0
11,0.102222222,4,13,0
12,0.080833333,6,2,0
13,0.048055556,4,2,1
14,0.505,4,3,0
15,2.336111111,5,2,1
16,3.994722222,7,1,1
17,24.25305556,5,3,1
18,69.27027778,3,2,1
19,91.42555556,6,1,1
20,0,2,12,0
21,0.096111111,3,2,0
22,0.078333333,5,1,0
23,0.0475,3,1,1
24,0.500277778,4,2,1
25,2.337777778,4,1,1
26,3.994166667,7,1,1
27,24.36055556,3,0,1
28,69.24777778,5,1,1
29,91.44722222,6,10,1
30,0,6,25,0
31,0.093611111,7,6,0
32,0.0775,5,1,0
33,0.046944444,3,2,1
34,0.954166667,4,2,1
35,2.285833333,5,1,1
36,4.594444444,2,2,1
37,23.99333333,3,2,1
38,68.60305556,9,2,1
39,91.45361111,5,2,1
40,0,5,15,0
41,0.088055556,4,13,0
42,0.075833333,3,7,0
43,0.049444444,11,2,0
44,0.03,8,4,0
45,0.013611111,9,5,1
46,0.891944444,12,4,1
47,2.296388889,13,2,1
48,4.61,6,2,1
49,26.96638889,10,1,1
50,65.60388889,15,7,0
51,29.16555556,3,2,1
52,62.31638889,10,1,1
53,71.4975,11,2,1
54,0,6,17,0
55,0.087777778,7,23,0
56,0.073888889,6,3,0
57,0.047777778,5,1,1
58,0.495555556,5,1,1
59,2.338888889,3,2,1
60,4.992777778,3,1,1
61,26.97222222,4,1,1
62,65.50027778,4,3,1
63,91.48444444,3,4,1
64,0,7,29,0
65,0.089166667,6,2,0
66,0.068055556,5,3,0
67,0.046388889,2,1,1
68,0.497777778,3,2,1
69,2.331111111,4,2,1
70,4.989444444,4,1,1
71,26.97611111,2,3,1
72,65.61055556,4,1,1
73,91.4375,3,1,1
74,0,2,13,0
75,0.082222222,4,23,0
76,0.071666667,16,9,0
77,0.0425,4,1,0
78,0.028055556,4,1,0
79,0.013333333,2,1,1
80,0.876666667,3,2,1
81,2.316944444,5,1,1
82,4.585277778,3,0,1
83,24.00305556,2,1,1
